input,responses,tag
hello,hello buddy,greeting
hello,hello main ky kr skta hu,greeting
hello,bol na ky kaam h,greeting
hello,ram ram,greeting
hello,kaam kr apna,greeting
hello,m nhi btaunga,greeting
hello,Hello!,greeting
hello,Hey there!,greeting
hello,Hi!,greeting
hello,Greetings!,greeting
hello,Salutations!,greeting
hello,"Hey, what's up?",greeting
hello,"Yo, what's going on?",greeting
hello,Howdy!,greeting
hello,Ahoy!,greeting
hello,Hiya!,greeting
hello,"Hey, good to see you!",greeting
hello,"Not much, just chilling. How about you?",greeting
hello,"Hey, hey!",greeting
hello,"Hey, how's it going?",greeting
hello,"Hey, what's the good word?",greeting
hello,"Hey, long time no see!",greeting
hello,"It's going well, thanks! How about you?",greeting
hello,"Hi, everything's going great. How about you?",greeting
hello,Top of the morning to you too!,greeting
hello,"Hey, how's your day going?",greeting
hello,"I'm doing well, thanks! How about you?",greeting
hello,"Hey, good to see you too!",greeting
hello,"Hiya, pal! What's new?",greeting
hello,The world keeps spinning. How about you?,greeting
hello,"Hey, sunshine! Ready to take on the day?",greeting
hello,"Not much, just hanging out. How about you?",greeting
hello,"Well, look who it is! How have you been?",greeting
hello,"Hi, stranger! Long time no talk!",greeting
hello,Greetings and hallucinations! How's life treating you?,greeting
hello,"Hey, fancy meeting you here! What brings you around?",greeting
hello,"Hello, beautiful! How's everything in your world?",greeting
hello,My day is going great. How about yours?,greeting
hello,"Hey, good lookin'! What's on your mind?",greeting
hello,"Hi, lovely people! How's the day treating you?",greeting
hello,"Hey, rockstar! Ready to conquer the world?",greeting
hello,"Not much, just taking it easy. How about you?",greeting
hello,"Greetings, earthling! How's life on your planet?",greeting
hello,"Hey, you magnificent creature! How's your day been?",greeting
hello,"Hello, fabulous! What's the latest gossip?",greeting
hello,Howdy-doody! What's new in your neck of the woods?,greeting
hello,"Hey, gorgeous! How's everything with you?",greeting
hello,Just going with the flow. How about you?,greeting
hello,"Hi, sunshine! What's brightening your day?",greeting
hello,"Hey, party people! Ready to have some fun?",greeting
hello,"Greetings, fellow human! How's life treating you?",greeting
hello,"Hey, superstar! What's been happening?",greeting
hello,"Not much, just keeping busy. How about you?",greeting
hello,"Hi, hi, hooray! What's the plan for today?",greeting
hello,"Hey, how are you doing? Anything exciting going on?",greeting
hello,"Hey, stranger! How have you been?",greeting
hello,"Hello, my friend! How's life treating you?",greeting
hello,Hi there! How's your day been so far?,greeting
hello,"Hey, you! What's the good news?",greeting
hi,hello buddy,greeting
hi,hello main ky kr skta hu,greeting
hi,bol na ky kaam h,greeting
hi,ram ram,greeting
hi,kaam kr apna,greeting
hi,m nhi btaunga,greeting
hi,Hello!,greeting
hi,Hey there!,greeting
hi,Hi!,greeting
hi,Greetings!,greeting
hi,Salutations!,greeting
hi,"Hey, what's up?",greeting
hi,"Yo, what's going on?",greeting
hi,Howdy!,greeting
hi,Ahoy!,greeting
hi,Hiya!,greeting
hi,"Hey, good to see you!",greeting
hi,"Not much, just chilling. How about you?",greeting
hi,"Hey, hey!",greeting
hi,"Hey, how's it going?",greeting
hi,"Hey, what's the good word?",greeting
hi,"Hey, long time no see!",greeting
hi,"It's going well, thanks! How about you?",greeting
hi,"Hi, everything's going great. How about you?",greeting
hi,Top of the morning to you too!,greeting
hi,"Hey, how's your day going?",greeting
hi,"I'm doing well, thanks! How about you?",greeting
hi,"Hey, good to see you too!",greeting
hi,"Hiya, pal! What's new?",greeting
hi,The world keeps spinning. How about you?,greeting
hi,"Hey, sunshine! Ready to take on the day?",greeting
hi,"Not much, just hanging out. How about you?",greeting
hi,"Well, look who it is! How have you been?",greeting
hi,"Hi, stranger! Long time no talk!",greeting
hi,Greetings and hallucinations! How's life treating you?,greeting
hi,"Hey, fancy meeting you here! What brings you around?",greeting
hi,"Hello, beautiful! How's everything in your world?",greeting
hi,My day is going great. How about yours?,greeting
hi,"Hey, good lookin'! What's on your mind?",greeting
hi,"Hi, lovely people! How's the day treating you?",greeting
hi,"Hey, rockstar! Ready to conquer the world?",greeting
hi,"Not much, just taking it easy. How about you?",greeting
hi,"Greetings, earthling! How's life on your planet?",greeting
hi,"Hey, you magnificent creature! How's your day been?",greeting
hi,"Hello, fabulous! What's the latest gossip?",greeting
hi,Howdy-doody! What's new in your neck of the woods?,greeting
hi,"Hey, gorgeous! How's everything with you?",greeting
hi,Just going with the flow. How about you?,greeting
hi,"Hi, sunshine! What's brightening your day?",greeting
hi,"Hey, party people! Ready to have some fun?",greeting
hi,"Greetings, fellow human! How's life treating you?",greeting
hi,"Hey, superstar! What's been happening?",greeting
hi,"Not much, just keeping busy. How about you?",greeting
hi,"Hi, hi, hooray! What's the plan for today?",greeting
hi,"Hey, how are you doing? Anything exciting going on?",greeting
hi,"Hey, stranger! How have you been?",greeting
hi,"Hello, my friend! How's life treating you?",greeting
hi,Hi there! How's your day been so far?,greeting
hi,"Hey, you! What's the good news?",greeting
hi there,hello buddy,greeting
hi there,hello main ky kr skta hu,greeting
hi there,bol na ky kaam h,greeting
hi there,ram ram,greeting
hi there,kaam kr apna,greeting
hi there,m nhi btaunga,greeting
hi there,Hello!,greeting
hi there,Hey there!,greeting
hi there,Hi!,greeting
hi there,Greetings!,greeting
hi there,Salutations!,greeting
hi there,"Hey, what's up?",greeting
hi there,"Yo, what's going on?",greeting
